GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
234,Core (1952),core title,Yes,No,Omitted in 1990 edition,Yes,Year 9,9,19,Apollonius,On Conic Sections,"Book I, Prop. 1-15; Book III, Prop. 42-55","Book I, Prop. 1-15; Book III, Prop. 42-55 (Revisit these as anchors after reading the whole work)",Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
235,Core (1952),core title,Yes,No,Omitted in 1990 edition,Yes,Year 9,9,20,Fielding,Tom Jones,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
236,Core (1952),core title,Yes,No,Omitted in 1990 edition,Yes,Year 9,9,21,Fourier,Analytical Theory of Heat,Preliminary Discourse; Ch. 1-2,Preliminary Discourse; Ch. 1-2 (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
237,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,22,Molière,Tartuffe,,Focus: hypocrisy mechanics; persuasion; exposure; social trust (Read whole; then re-read these anchors),Science; Physics; Art; Beauty; Form; Mechanics; Hypothesis,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form; Hypothesis,Science; Physics; Mechanics
238,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,23,Austen,Emma,,Focus: self-deception; social perception; moral education arc; ending (Read whole; then re-read these anchors),Education; Experience; Knowledge; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Education; Experience; Knowledge,Truth
239,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,24,Planck,Scientific Autobiography,,Focus: discovery narrative; quantum origins; method and worldview (Read whole; then re-read these anchors),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
240,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,25,Veblen,The Theory of the Leisure Class,,Focus: conspicuous consumption; status signaling; institutions critique (Read whole; then re-read these anchors),Custom and Convention; Government; Labor; Progress; Wealth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Custom and Convention; Government; Labor,Progress; Wealth
241,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,26,Joyce,A Portrait of the Artist as a Young Man,,Focus: epiphanies; artist formation; language & identity; ending (Read whole; then re-read these anchors),Form; Art; Beauty; Being; Language; Metaphysics; Rhetoric; Sign and Symbol,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Form; Art; Beauty; Being; Language,Metaphysics; Rhetoric; Sign and Symbol
242,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,27,Hemingway,The Short Happy Life of Francis Macomber,,Focus: fear/courage reversal; power triangle; ambiguity at end (Read whole; then re-read these anchors),Courage; Honor; War and Peace; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Honor,War and Peace; Truth
243,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,28,Balzac,Cousin Bette,Focus: opening setup; mid-novel revenge mechanics; final reckoning,Focus: opening setup; mid-novel revenge mechanics; final reckoning (Revisit these as anchors after reading the whole work),Science; Physics; God; Mechanics; Religion; Sin; Hypothesis,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,19th-c social novel near Austen/Fielding,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Hypothesis,Science; Physics; Mechanics; Religion; Sin
244,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,29,Tawney,The Acquisitive Society,"Focus: core chapters on property, function, and social purpose","Focus: core chapters on property, function, and social purpose (Revisit these as anchors after reading the whole work)",Government; Justice; Labor; Law; Virtue and Vice; Wealth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Political economy near Veblen/Marx,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Justice; Labor; Law,Virtue and Vice; Wealth
245,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 9,9,30,Keynes,"The General Theory of Employment, Interest, and Money",Book I; Book III (effective demand); Book IV (investment); Book V (money/interest),Book I; Book III (effective demand); Book IV (investment); Book V (money/interest) (Revisit these as anchors after reading the whole work),Government; Labor; Wealth; Chance; Progress; Prudence,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Macro foundations near modern social theory,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Labor; Chance,Wealth; Progress; Prudence
246,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,1,Sophocles,Ajax,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Courage; Fate; Good and Evil; Justice; Law; Life and Death; Punishment; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Fate; Good and Evil; Justice; Law; Life and Death; God,Punishment
247,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,2,Sophocles,Electra,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Courage; Fate; Good and Evil; Justice; Law; Life and Death; Punishment; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Fate; Good and Evil; Justice; Law; Life and Death; God,Punishment
248,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,3,Plato,Timaeus,,Focus: cosmology; receptacle; teleology; math order of nature (Read whole; then re-read these anchors),Nature; Science; Cause; Form; Space; Time; World; Dialectic,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Form; Dialectic,Nature; Science; Space; Time; World
249,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 10,10,4,Aristotle,On the Parts of Animals; On the Generation of Animals,"On the Parts: Book I, Ch. 1-Book II, Ch. 1; On Generation: Book I, Ch. 1, 17-18, 20-23","On the Parts: Book I, Ch. 1-Book II, Ch. 1; On Generation: Book I, Ch. 1, 17-18, 20-23 (Revisit these as anchors after reading the whole work)",Government; Happiness; Justice; Law; Logic; Nature; Reasoning; Science,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Happiness; Justice; Law; Logic,Nature; Reasoning; Science
250,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,5,Lucretius,On the Nature of Things,Book V-VI,Book V-VI (Revisit these as anchors after reading the whole work),Nature; Physics; Science; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",,Nature; Physics; Science; Truth
251,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,6,Virgil,The Eclogues; The Georgics,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
252,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,7,St. Thomas Aquinas,Summa Theologica,"Part I, QQ 65-74","Part I, QQ 65-74 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
253,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,8,St. Thomas Aquinas,Summa Theologica,"Part I, QQ 90-102","Part I, QQ 90-102 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
254,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,9,Chaucer,Canterbury Tales,Prologue; Knight's Tale; Miller's ...; Reeve's ...; Wife of Bath's ...; Friar's ...; Summoner's ...; Pardoner's ...,Prologue; Knight's Tale; Miller's ...; Reeve's ...; Wife of Bath's ...; Friar's ...; Summoner's ...; Pardoner's ... (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
255,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,10,Shakespeare,Richard II,,Focus: kingship legitimacy; deposition; language & power (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
256,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,11,Shakespeare,Henry IV (Part 1),,Focus: honor speech; Hal's transformation; rebellion politics (Read whole; then re-read these anchors),War and Peace; Desire; Emotion; Fate; Form; Good and Evil; Justice; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Form; Good and Evil; Justice; Love,War and Peace
257,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,12,Shakespeare,Henry IV (Part 2),,Focus: rule vs friendship; aging; transition to Henry V (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
258,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,13,Shakespeare,Henry V,,Focus: leadership rhetoric; just war questions; St. Crispin speech; ending (Read whole; then re-read these anchors),War and Peace; Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,War and Peace; Tyranny and Despotism
259,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,14,Harvey,On the Generation of Animals,Introduction-Exercise 62,Introduction-Exercise 62 (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
260,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,15,Cervantes,Don Quixote,Part II,Part II (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
261,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,16,Kant,Critique of Judgment,Critique of Teleological Judgment,Critique of Teleological Judgment (Revisit these as anchors after reading the whole work),Reasoning; Duty; Judgment; Law; Liberty; Metaphysics; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Judgment; Law; Liberty,Reasoning; Metaphysics; Truth; Will
262,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,17,Goethe,Faust,Part II,Part II (Revisit these as anchors after reading the whole work),Art; Desire; Good and Evil; Love; Truth; Will; Beauty; Form,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Desire; Good and Evil; Love; Beauty; Form,Truth; Will
263,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,18,Darwin,The Descent of Man,"Part I; Part III, Ch. 21","Part I; Part III, Ch. 21 (Revisit these as anchors after reading the whole work)",Cause; Chance; Evolution; Life and Death; Man; Nature; Science; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Chance; Evolution; Life and Death; Art,Man; Nature; Science
264,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,19,Marx,Capital,Part VII-VIII,Part VII-VIII (Revisit these as anchors after reading the whole work),Government; Justice; Labor; Progress; Revolution; State; Wealth; Slavery,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Justice; Labor,Progress; Revolution; State; Wealth; Slavery
265,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,20,James,Principles of Psychology,Ch. I; Ch. V-VII,Ch. I; Ch. V-VII (Revisit these as anchors after reading the whole work),Emotion; Experience; Knowledge; Memory and Imagination; Mind; Reasoning; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Emotion; Experience; Knowledge,Memory and Imagination; Mind; Reasoning; Truth; Will
266,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 10,10,21,Freud,A General Introduction to Psycho-analysis,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Sin; Desire; Emotion; Memory and Imagination; Mind; Truth; Will; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; God,Sin; Memory and Imagination; Mind; Truth; Will
267,Core (1952),core title,Yes,Yes,,Yes,Year 10,10,22,Boswell,The Life of Samuel Johnson,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
268,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,23,Erasmus,In Praise of Folly,,Focus: satire of learning/piety; self-knowledge; human vanity (Read whole; then re-read these anchors),Knowledge; Reasoning; Truth; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Reasoning; Truth
269,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,24,Huizinga,The Waning of the Middle Ages,XI-XXIII,XI-XXIII (Revisit these as anchors after reading the whole work),Art; Custom and Convention; History; Religion; World,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; History,Religion; World
270,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,25,Eddington,The Expanding Universe,,Focus: evidence for expansion; cosmological models; limits of inference (Read whole; then re-read these anchors),Astronomy; Cause; Hypothesis; Science; Space; Time; Language; Logic,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Astronomy; Cause; Hypothesis; Language; Logic,Science; Space; Time
271,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,26,T. S. Eliot,The Waste Land,,Focus: fragmentation; myth method; voices; endings & renewal ambiguity (Read whole; then re-read these anchors),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
272,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,27,Cather,A Lost Lady,Focus: Parts I-II; social change theme; ending,Focus: Parts I-II; social change theme; ending (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,American modernity,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
273,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,28,Faulkner,A Rose for Emily,(Short story) Focus: narrative structure & final reveal,(Short story) Focus: narrative structure & final reveal (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Modern form & memory,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
274,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,29,Bohr,Atomic Theory and the Description of Nature,Focus: complementarity; measurement; limits of classical concepts,Focus: complementarity; measurement; limits of classical concepts (Revisit these as anchors after reading the whole work),Physics; Science; Cause; Hypothesis; Knowledge; Truth; Nature,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Quantum foundations companion,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Hypothesis; Knowledge,Physics; Science; Truth; Nature
275,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,30,Thomas Mann,Death in Venice,Focus: Part II-IV (obsession); myth references; ending,Focus: Part II-IV (obsession); myth references; ending (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,"Aesthetics, desire, decadence","Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
276,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,31,Bohr,Discussion with Einstein on Epistemology,Focus: central exchanges on uncertainty & completeness,Focus: central exchanges on uncertainty & completeness (Revisit these as anchors after reading the whole work),Hypothesis; Knowledge; Physics; Reasoning; Science; Truth; Cause,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Einstein-Bohr debate,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Knowledge; Cause,Physics; Reasoning; Science; Truth
277,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,32,Conrad,Heart of Darkness,Focus: frame narrative opening; Kurtz sections; closing return,Focus: frame narrative opening; Kurtz sections; closing return (Revisit these as anchors after reading the whole work),Art; Beauty; Form; God; Religion; Sin,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,"Empire, morality, modernity","Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form; God,Religion; Sin
